ESF;UC;centroid (lat);centroid (long);distance (km)
estadual;ESTAÇÃO ECOLÓGICA BANANAL;-22,78633263;-44,3495156;3,222382251
estadual;PARQUE ESTADUAL DO SUMIDOURO;-19,55159267;-43,95642106;4,703468177
estadual;PARQUE ESTADUAL DO BACANGA;-2,59244627;-44,27385486;4,73853842
estadual;PARQUE ESTADUAL DO RIO VERMELHO;-27,5319654;-48,4258189;7,614142938
estadual;PARQUE ESTADUAL IGARAPÉS DO JURUENA;-8,89805225;-58,98391153;60,07530588
estadual;PARQUE ESTADUAL RIO CANOAS;-27,57624742;-51,18147121;2,863945773
estadual;ESTAÇÃO ECOLÓGICA DE CORUMBç;-20,31511519;-45,6193416;1,62264622
estadual;PARQUE ESTADUAL CAVERNA DO DIABO;-24,69246178;-48,40867029;23,52346748
estadual;ESTAÇÃO ECOLÓGICA DA ILHA DO MEL;-25,51093847;-48,34323064;4,033877587
estadual;RESERVA BIOLÔGICA DO MATO GRANDE;-32,138818;-52,68513803;7,449511742
estadual;PARQUE ESTADUAL SERRA DAS ARARAS;-15,40292635;-45,35497437;10,97304105
estadual;REFòGIO DE VIDA SILVESTRE DAS ILHAS DO ABRIGO E GUARARITAMA;-24,38075718;-46,98843799;1,552203036
estadual;MONUMENTO NATURAL ESTADUAL VçRZEA DA LAPA;-19,57201681;-43,9496439;0,38373902
estadual;PARQUE ESTADUAL DE TERRA RONCA;-13,62270819;-46,35284109;21,98460991
estadual;RESERVA BIOLÓGICA DE ARARAS;-22,44898593;-43,26557016;7,04039883
estadual;PARQUE ESTADUAL DA SERRA DO CONDURU;-14,45286579;-39,09676896;12,16981362
estadual;ESTAÇÃO ECOLÓGICA DO BARREIRO RICO;-22,67702223;-48,14778864;1,380123019
estadual;REFÚGIO DE VIDA SILVESTRE MATA DE CARAÚNA;-8,18607018;-35,1006506;1,243277601
estadual;PARQUE ESTADUAL RIO CORRENTE;-18,9992487;-42,31122302;9,926524843
estadual;ESTAÇÃO ECOLÓGICA DE SÌO CARLOS;-22,08199613;-48,02561821;1,101702239
estadual;ESTAÇÃO ECOLÓGICA DO S’TIO RANGEDOR;-2,49746986;-44,26846244;1,191282802
estadual;ESTAÇÃO ECOLÓGICA JATAÊ;-21,60027035;-47,77622207;10,91013593
estadual;PARQUE ESTADUAL MATAS DO SEGREDO;-20,39259093;-54,58852364;1,185082254
estadual;ESTAÇÃO ECOLÓGICA RIO DOS TOUROS;-25,92634874;-52,0611712;5,058932495
estadual;MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO;-11,61851928;-40,99184213;1,658148999
estadual;PARQUE ESTADUAL DE çGUAS QUENTES;-15,8865574;-55,51776052;2,817202316
estadual;REFòGIO ESTADUAL DE VIDA SILVESTRE MATA DOS MURIQUIS;-16,41223625;-40,06581056;5,805626581
estadual;ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS;-24,45633649;-47,29351568;32,09505348
estadual;PARQUE ESTADUAL NASCENTES DO PARANAPANEMA;-24,1914748;-48,19473863;13,19897235
estadual;PARQUE ESTADUAL SERRA VERDE;-19,78441334;-43,95913421;1,207043158
estadual;PARQUE ESTADUAL DE GUAJARç-MIRIM;-10,56660395;-64,41199132;49,08199043
estadual;REFÚGIO DE VIDA SILVESTRE ENGENHO MORENINHO;-8,10926857;-35,11865928;1,260854876
estadual;PARQUE ESTADUAL DA CAMPINA DO ENCANTADO;-24,6445588;-47,77642588;4,292259549
estadual;PARQUE ESTADUAL CAMPOS ALTOS;-19,72625515;-46,12417822;2,229088918
estadual;ESTAÇÃO ECOLÓGICA DOS CAETETUS;-22,40378686;-49,69665659;4,130621599
estadual;ESTAÇÃO ECOLÓGICA DE FECHOS;-20,07293418;-43,96795866;1,763532973
estadual;PARQUE ESTADUAL DA SERRA DO TABULEIRO;-27,88159726;-48,79734992;36,62075079
estadual;PARQUE ESTADUAL DA ILHA DO MEL;-25,55751108;-48,30521193;2,608370477
estadual;PARQUE ESTADUAL SERRA DA CANDONGA;-18,89582661;-42,95719604;4,659735127
estadual;PARQUE ESTADUAL Z_ BOLO FLÔ;-15,63166192;-56,05855533;0,66982258
estadual;MUNUMENTO NATURAL DOS CANIONS DO SUBAÉ;-12,51272727;-38,76632876;2,332445509
estadual;MONUMENTO NATURAL ESTADUAL DA PEDRA GRANDE;-23,20980648;-46,51750368;5,768440554
estadual;PARQUE ESTADUAL DE ITABERABA;-23,29352424;-46,35834252;16,38877875
estadual;RESERVA BIOLÓGICA DO GUARç;-15,80816374;-47,97584718;1,414276162
estadual;PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS;-24,30488351;-46,1762263;5,746480491
estadual;ESTAÇÃO ECOLÓGICA DO CERCADINHO;-19,98018748;-43,95362616;1,169216868
estadual;RESERVA BIOLÔGICA DO IBIRAPUITÃ;-29,92374842;-55,77826324;1,582602629
estadual;RESERVA BIOLÓGICA DO RIO DESCOBERTO;-15,74891195;-48,19492151;5,455252691
estadual;PARQUE ESTADUAL CARLOS BOTELHO;-24,13607918;-47,96009027;17,54578769
estadual;PARQUE ESTADUAL DA SERRA DOS MONTES ALTOS;-14,43802265;-42,96952493;28,36074125
estadual;PARQUE ESTADUAL DO MORRO DO DIABO;-22,53020427;-52,29609427;18,69726032
