country;major area;minor area;centroid (lat);centroid (long);distance (km)
Argentina;Córdoba;Tulumba;-30,21389335;-63,78375655;140,858337
Argentina;Córdoba;Unión;-32,88265265;-62,80359104;110,2387193
Argentina;Catamarca;Ambato;-28,00903318;-65,92000875;43,8721953
Argentina;Catamarca;Ancasti;-28,9391833;-65,48995555;67,62243256
Argentina;Catamarca;Andalgalá;-27,57709818;-66,34353078;58,69183467
Argentina;Catamarca;Antofagasta de la Sierra;-25,96496775;-67,67998787;136,2626526
Argentina;Catamarca;Belén;-27,09900455;-66,90563408;134,6846799
Argentina;Catamarca;Capayán;-28,93465902;-65,89160547;139,9298379
Argentina;Catamarca;Capital;-28,39623444;-65,83105887;22,74553574
Argentina;Catamarca;El Alto;-28,43086388;-65,37787235;37,286621
Argentina;Catamarca;Fray Mamerto Esquiú;-28,29615865;-65,73013072;16,29630361
Argentina;Catamarca;La Paz;-29,41666418;-65,18058215;90,74483679
Argentina;Catamarca;Paclín;-28,1076341;-65,65885436;37,7887235
Argentina;Catamarca;Pomán;-28,21724355;-66,39022745;64,07366527
Argentina;Catamarca;Santa María;-26,77772054;-66,27452847;72,26088609
Argentina;Catamarca;Santa Rosa;-28,07695219;-65,31556828;35,20761392
Argentina;Catamarca;Tinogasta;-27,54481123;-67,93833756;124,5399679
Argentina;Catamarca;Valle Viejo;-28,59079526;-65,70753227;24,26167072
Argentina;Chaco;Almirante Brown;-25,74604317;-61,98663368;144,7589758
Argentina;Chaco;Bermejo;-26,95523824;-58,70546533;47,86366408
Argentina;Chaco;Chacabuco;-27,10931687;-61,31976122;55,66213827
Argentina;Chaco;Comandante Fernández;-26,78766611;-60,47083335;28,98683838
Argentina;Chaco;Doce de Octubre;-27,37760177;-61,43294093;57,74577862
Argentina;Chaco;Fray Justo Santa María de Oro;-27,82312319;-61,33193056;44,34667725
Argentina;Chaco;General Belgrano;-26,83336833;-61,07929286;40,46474637
Argentina;Chaco;General Donovan;-27,12847591;-59,35502341;35,01189221
Argentina;Chaco;General Güemes;-25,22453389;-61,3479397;158,8605457
Argentina;Chaco;Independencia;-26,73013027;-60,76375335;37,19935853
Argentina;Chaco;Libertad;-27,34997149;-59,27302938;33,70481872
Argentina;Chaco;Libertador General San Martín;-26,36788595;-59,50197023;100,1694571
Argentina;Chaco;Maipú;-26,32530854;-60,45980938;40,7029008
Argentina;Chaco;Mayor Luis J. Fontana;-27,73987875;-60,66884012;52,21443536
Argentina;Chaco;Nueve de Julio;-26,93575698;-61,27553129;64,41292824
Argentina;Chaco;O'Higgins;-27,2456946;-60,69573811;32,30299277
Argentina;Chaco;Presidencia de la Plaza;-27,03481914;-59,79188961;38,51348727
Argentina;Chaco;Primero de Mayo;-27,16240132;-58,96672062;40,70103854
Argentina;Chaco;Quitilipi;-26,66801378;-60,18432231;48,04253504
Argentina;Chaco;San Fernando;-27,7106469;-59,12423902;42,78112793
Argentina;Chaco;San Lorenzo;-27,38906529;-60,37632117;44,93800841
Argentina;Chaco;Sargento Cabral;-26,78623279;-59,538761;43,93403394
Argentina;Chaco;Tapenagá;-27,65550439;-59,83705387;56,60641244
Argentina;Chaco;Veinticinco de Mayo;-26,81406043;-60,03428101;58,81502443
Argentina;Chubut;Biedma;-42,44388193;-64,93139564;112,0210258
Argentina;Chubut;Cushamen;-42,36832442;-70,69958575;117,3534988
Argentina;Chubut;Escalante;-45,28369338;-67,70861118;110,0722281
Argentina;Chubut;Florentino Ameghino;-44,42406285;-66,12900916;102,1177617
Argentina;Chubut;Futaleufú;-43,06943409;-71,46564082;75,12835377
Argentina;Chubut;Gaiman;-43,2725644;-66,17212717;90,94205915
Argentina;Chubut;Gastre;-42,75205897;-68,80183421;106,3940402
Argentina;Chubut;Languiñeo;-43,3235319;-70,34847644;126,9101564
Argentina;Chubut;Mártires;-43,81386852;-67,24005889;112,1913995
Argentina;Chubut;Paso de Indios;-44,0301573;-68,68589809;121,6407902
Argentina;Chubut;Rawson;-43,1374335;-65,07475556;65,0408989
Argentina;Chubut;Rió Senguer;-45,33862148;-70,63122984;129,5764579
Argentina;Chubut;Sarmiento;-45,34829415;-69,00286117;88,59163927
Argentina;Chubut;Tehuelches;-44,20043862;-70,57911864;101,9631308
Argentina;Chubut;Telsen;-42,43986198;-67,17726038;111,3521143
Argentina;Ciudad de Buenos Aires;Distrito Federal;-34,61767799;-58,44443585;10,06210058
Argentina;Corrientes;Bella Vista;-28,49548806;-58,93193792;38,05203099
Argentina;Corrientes;Berón de Astrada;-27,46781518;-57,63253588;30,10951425
Argentina;Corrientes;Capital;-27,52011714;-58,76231452;17,67880857
Argentina;Corrientes;Concepción;-28,39588804;-58,02961079;62,81687634
Argentina;Corrientes;Curuzú Cuatiá;-29,70288088;-58,33339507;82,77143174
Argentina;Corrientes;Empedrado;-27,89699789;-58,67091531;48,93142336
Argentina;Corrientes;Esquina;-29,98569542;-59,24388569;63,66338837
Argentina;Corrientes;General Alvear;-28,7789863;-56,52708295;39,95390397
Argentina;Corrientes;General Paz;-27,70284228;-57,77853618;61,09584604
Argentina;Corrientes;Goya;-29,45585849;-59,2631069;69,20935487
Argentina;Corrientes;Itatí;-27,33900315;-58,07995629;32,39790212
Argentina;Corrientes;Ituzaingó;-27,91195994;-56,79783193;111,0907606
Argentina;Corrientes;Lavalle;-28,99134794;-58,93564333;32,7145595
Argentina;Corrientes;Mburucuyá;-28,00878011;-58,17369329;25,53063676
Argentina;Corrientes;Mercedes;-29,06326073;-57,82815278;85,01589984
Argentina;Corrientes;Monte Caseros;-30,23748902;-57,87437484;58,5603898
Argentina;Corrientes;Paso de los Libres;-29,60005174;-57,31141346;72,34976596
Argentina;Corrientes;Saladas;-28,20751912;-58,60328764;40,62270241
Argentina;Corrientes;San Cosme;-27,37493137;-58,51164648;20,87814271
Argentina;Corrientes;San Luis del Palmar;-27,59678603;-58,27052872;45,39197065
Argentina;Corrientes;San Martín;-28,82689346;-56,9445486;70,39920974
Argentina;Corrientes;San Miguel;-27,87257161;-57,42363113;61,61186934
Argentina;Corrientes;San Roque;-28,70705422;-58,60482159;48,58212141
Argentina;Corrientes;Santo Tomé;-28,22802332;-56,23443227;75,01710078
Argentina;Corrientes;Sauce;-30,0072387;-58,80208562;45,17420257
Argentina;Entre Ríos;Colón;-31,94748296;-58,38810018;51,31848806
Argentina;Entre Ríos;Concordia;-31,29586327;-58,24382914;53,92220801
Argentina;Entre Ríos;Diamante;-32,22872474;-60,53387789;52,44768304
Argentina;Entre Ríos;Federación;-30,72097514;-58,15717531;59,28366819
Argentina;Entre Ríos;Federal;-30,97055949;-58,88846845;51,11077344
Argentina;Entre Ríos;Feliciano;-30,40135192;-58,71640997;46,70895471
Argentina;Entre Ríos;Gualeguaychú;-33,00504735;-58,79507468;60,68957306
Argentina;Entre Ríos;Gualeguay;-33,10397721;-59,6082758;86,70255732
Argentina;Entre Ríos;Isla;-33,09277577;-58,26125981;1,848120172
